Eje,Nº Programa,Programa,Tipo,Proyecto,Objetivo (si aplica)
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Emblemático,Pacto Urbano Ciudad Humana: Carta de principios firmada y socializada.,Establecer principios rectores y visión urbana compartida hasta 2050.
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Proyecto 1,Carta Urbana de La Paz 2050,
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Principal,Carta Urbana de La Paz,
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Principal,Observatorio de Gobernanza Urbana,
EJE I.,2,Normativa Urbana y Convenios,Emblemático,Portal de Normas Urbanas Vivas.,Facilitar compromisos formales con sectores y territorios.
EJE I.,2,Normativa Urbana y Convenios,Proyecto 1,Paragua Normativo para el Desarrollo,
EJE I.,2,Normativa Urbana y Convenios,Proyecto 1,Banco de Convenios Urbanos,
EJE I.,2,Normativa Urbana y Convenios,Principal,Banco de Convenios Urbanos,
EJE I.,2,Normativa Urbana y Convenios,Principal,Reforma del Código Municipal Urbano,
EJE I.,3,Planificación Urbana Operativa,Emblemático,La Paz Planifica con la Gente.,Monitorear el crecimiento y facilitar decisiones basadas en datos.
EJE I.,3,Planificación Urbana Operativa,Proyecto 1,Observatorio Urbano Digital,
EJE I.,3,Planificación Urbana Operativa,Principal,POT por Distritos,
EJE I.,3,Planificación Urbana Operativa,Principal,Plataforma de Planificación Digital,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Emblemático,Archivo Digital Abierto de la Ciudad.,Implementar una organización orientada a la gestión territorial efectiva.
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Emblemático,Gobierno Abierto en Territorio.,Implementar una organización orientada a la gestión territorial efectiva.
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Proyecto 1,Nueva Estructura Municipal Territorizada,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Principal,Rediseño Organizativo GAMLP,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Principal,Indicadores por distrito,
EJE I.,5,Sistema de Recaudación Municipal,Emblemático,La Paz Gana con Tu Aporte.,Promover cultura tributaria con beneficios y corresponsabilidad.
EJE I.,5,Sistema de Recaudación Municipal,Emblemático,Contribuyente Humano: Reconocimiento ciudadano.,Promover cultura tributaria con beneficios y corresponsabilidad.
EJE I.,5,Sistema de Recaudación Municipal,Emblemático,Fondos Ciudadanos para Proyectos Locales.,Promover cultura tributaria con beneficios y corresponsabilidad.
EJE I.,5,Sistema de Recaudación Municipal,Proyecto 1,Ciudadanía Fiscal Responsable,
EJE I.,5,Sistema de Recaudación Municipal,Principal,Ciudadanía Fiscal Responsable,
EJE I.,5,Sistema de Recaudación Municipal,Principal,Aplicativo de Pago Móvil Municipal,
EJE I.,6,Presupuesto y POA Transparente,Emblemático,Presupuesto Participativo Vecinal.,Facilitar seguimiento de metas presupuestarias por distrito.
EJE I.,6,Presupuesto y POA Transparente,Proyecto 1,POA Visual Ciudadano,
EJE I.,6,Presupuesto y POA Transparente,Proyecto 2,Ranking por ejecución y calidad de obras - 10 premios de 100.000 en obras,
EJE I.,6,Presupuesto y POA Transparente,Principal,POA Visual Participativo,
EJE I.,6,Presupuesto y POA Transparente,Principal,Ranking Distrital de Cumplimiento,
EJE I.,7,Transparencia y Ética Pública Municipal,Emblemático,Transparencia en 1 Click.,Plataforma de transparencia con datos abiertos e infografías.
EJE I.,7,Transparencia y Ética Pública Municipal,Proyecto 1,Confía La Paz,
EJE I.,8,Participación y Control Social Organizado,Emblemático,Red de Veeduría Ciudad Humana.,Formar actores ciudadanos en fiscalización y seguimiento de obras.
EJE I.,8,Participación y Control Social Organizado,Proyecto 1,Escuela de Contralores Sociales,
EJE I.,9,Auditoría Técnica y Evaluación Pública,Emblemático,Ciudad con Ojos Abiertos.,Plataforma para validar calidad y avance de proyectos vecinales.
EJE I.,9,Auditoría Técnica y Evaluación Pública,Proyecto 1,Evalúa Tu Obra,
EJE I.,10,Presupuesto Participativo y Contraloría Social,Emblemático,Presupuesta Tu Barrio.,"Implementar un proceso participativo, digital y deliberativo."
EJE I.,10,Presupuesto Participativo y Contraloría Social,Proyecto 1,La Paz Decide,
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Emblemático,Banco Social de la Ciudad.,"Crear un mecanismo ágil, auditable y transparente para canalizar inversión estructural."
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Proyecto 1,Ciudad Humana Invierte,
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Principal,Fondo Fiduciario Ciudad Humana (FFCH),
EJE I.,11,Estrategia de Financiamiento Mixto y Fondos Fiduciarios,Principal,Unidad Técnica de Proyectos,
EJE I.,12,Estrategia de Financiamiento con participación Privada,Emblemático,Alianzas por la Vida Urbana.,Campaña multisectorial para atraer inversión en proyectos visibles.
EJE I.,12,Estrategia de Financiamiento con participación Privada,Proyecto 1,Aliados por la Ciudad Humana,
EJE I.,12,Estrategia de Financiamiento con participación Privada,Principal,Aliados por la Ciudad Humana,
EJE I.,12,Estrategia de Financiamiento con participación Privada,Principal,Ventanilla de APP para servicios urbanos,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Emblemático,Mapa Integrado de Políticas de Ciudad.,Agenda de proyectos presentada al Gobierno Nacional y multilaterales.
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Proyecto 1,La Paz Merece Más,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Principal,La Paz Merece,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Principal,Convenios con BID/CAF/ONU,
EJE I.,13,Gestión de Recursos Estatales y Cooperación Internacional,Principal,Hábitat,
EJE I.,14,Transformación Digital Ciudadana,Emblemático,Municipio Inteligente y Humano.,"Plataforma integral para interacción ciudadana, trámites, control social y servicios digitales"
EJE I.,14,Transformación Digital Ciudadana,Proyecto 1,Plataforma Ciudad Digital,
EJE I.,14,Transformación Digital Ciudadana,Principal,Ciudad Digital Participativa,
EJE I.,14,Transformación Digital Ciudadana,Principal,Registro Único del Ciudadano,
EJE II.,15,Salud Primaria Integral,Emblemático,Clínicas de Vida: Salud donde vives.,"Consolidar centros de primer y segundo nivel con atención continua, insumos, y equipo humano."
EJE II.,15,Salud Primaria Integral,Proyecto 4,"Eje I (Financiamiento), Eje IV (Empleo), Eje IX (Ambiente saludable)",
EJE II.,15,Salud Primaria Integral,Principal,Centros Distritales,
EJE II.,15,Salud Primaria Integral,Principal,Red de Salud Familiar,
EJE II.,16,Salud Inteligente y Preventiva,Emblemático,Red de Salud Inteligente de Barrio.,Crear un sistema digital integrado de vigilancia epidemiológica y prevención.
EJE II.,16,Salud Inteligente y Preventiva,Proyecto 4,"Eje III (Innovación), Eje VIII (Movilidad sanitaria), Eje IX (Clima)",
EJE II.,16,Salud Inteligente y Preventiva,Principal,Laboratorio de Vigilancia Epidemiológica,
EJE II.,16,Salud Inteligente y Preventiva,Principal,App de Salud Preventiva,
EJE II.,17,Salud Mental Comunitaria,Emblemático,"La Paz Te Escucha: Espacios de escucha, contención y acompañamiento.",Crear centros de atención emocional en todos los distritos.
EJE II.,17,Salud Mental Comunitaria,Proyecto 4,"Eje V (Redes de cuidado), Eje VI (Cultura), Eje IV (Juventudes)",
EJE II.,17,Salud Mental Comunitaria,Principal,Centros Distritales de Salud Mental,
EJE II.,17,Salud Mental Comunitaria,Principal,Brigadas Escolares de Apoyo Psicológico,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Emblemático,Barrio Activo: Circuitos deportivos barriales.,"Creación de 50 escuelas deportivas gratuitas en barrios populares con entrenadores formadores, acompañamiento emocional y articulación con unidades educativas."
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Proyecto 4,"Eje III (Educación), Eje IV (Juventud), Eje V (Prevención)",
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Proyecto 4,"Eje VII (Espacio público), Eje V (Seguridad), Eje IV (Juventud)",
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Principal,Escuelas Deportivas Barriales,
EJE II.,18,Deporte para la Vida (Formativo y comunitario),Principal,Deporte con Propósito (Disciplina + valores),
EJE II.,19,Deporte de Alto Rendimiento Paceño (Competitivo y de representación),Proyecto 4,"Eje VI (Cultura), Eje IV (Juventud), Eje X (Metropolitano)",
EJE II.,19,Deporte de Alto Rendimiento Paceño (Competitivo y de representación),Principal,Centro de Alto Rendimiento Paceño,
EJE II.,19,Deporte de Alto Rendimiento Paceño (Competitivo y de representación),Principal,Becas para Atletas Urbanos,
EJE II.,20,Control de Alimentos y Salud Nutricional,Emblemático,"Aliméntate Bien, Vive Mejor: Etiqueta municipal de alimentos seguros.",Implementar unidades de control sanitario y educación nutricional.
EJE II.,20,Control de Alimentos y Salud Nutricional,Proyecto 4,"Eje IV (Mercados), Eje I (Participación), Eje VII (Control urbano)",
EJE II.,20,Control de Alimentos y Salud Nutricional,Principal,Reservorios Urbanos,
EJE II.,20,Control de Alimentos y Salud Nutricional,Principal,Red de Recolección Pluvial,
EJE II.,21,Agua Segura y Gestión Hídrica,Emblemático,Agua para la Vida: Redes solidarias y tanques comunitarios.,"Generar brigadas de prevención, tanques de reserva, filtros, y control comunitario."
EJE II.,21,Agua Segura y Gestión Hídrica,Proyecto 4,"Eje IX (Adaptación Climática), Eje X (Gobernanza Metropolitana), Eje I (POA resiliente)",
EJE II.,21,Agua Segura y Gestión Hídrica,Principal,Laboratorio Municipal de Alimentos,
EJE II.,21,Agua Segura y Gestión Hídrica,Principal,Etiquetado Municipal para Comer Bien,
EJE II.,22,Defensa del Consumidor,Emblemático,Alerta Justa: App para control comunitario de abusos.,Crear canales rápidos de denuncia y mediación municipal.
EJE II.,22,Defensa del Consumidor,Proyecto 4,"Eje I (Digitalización), Eje IV (Economía local), Eje V (Justicia comunitaria)",
EJE II.,22,Defensa del Consumidor,Principal,Ventanilla del Consumidor Municipal,
EJE II.,22,Defensa del Consumidor,Principal,Brigadas de Control de Abusos,
EJE III.,23,Infraestructura y Equipamiento Educativo,Proyecto 4,"Eje II (Salud Escolar), Eje I (Financiamiento), Eje VII (Equipamiento)",
EJE III.,23,Infraestructura y Equipamiento Educativo,Principal,Plan de Rehabilitación Escolar,
EJE III.,23,Infraestructura y Equipamiento Educativo,Principal,Mantenimiento con Brigadas Ciudadanas,
EJE III.,24,Educación para el Desarrollo,Emblemático,Escuela de Ciudadanía Viva y Aprendizaje Colectivo.,"Diseñar currículas complementarias en valores, clima, género, cultura digital y comunidad."
EJE III.,24,Educación para el Desarrollo,Proyecto 4,"Eje IV (Juventudes), Eje IX (Clima), Eje V (Convivencia)",
EJE III.,24,Educación para el Desarrollo,Principal,Programa “Aprender para la Vida”,
EJE III.,24,Educación para el Desarrollo,Principal,Itinerarios Educativos por Talento,
EJE III.,25,Educación Digital y Tecnologías para la Vida,Emblemático,Ciudad Crea: Laboratorios de Innovación Ciudadana.,"Centros barriales con wifi, capacitación en apps, ciudadanía digital y plataformas."
