Código,Compromiso,Eje,Lugar,Proyecto sugerido,Programa,Nivel de encaje,Nota
C001,Realizar la Larga Noche de Museos el 11 de julio de 2026,Ciudad Cultural y Turística,"Calle Jaén, La Paz (centro histórico)",La noche Blanca,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Alto,Evento cultural nocturno de museos. | afinado: La Larga Noche de Museos es la Noche Blanca cultural del catálogo.
C002,Crear un nuevo museo patrimonial en el centenario del Palacio Consistorial,Ciudad Cultural y Turística,"Calle Jaén, La Paz (centro histórico)",Memoria Viva: Adopta tu Patrimonio,Patrimonio para el Futuro,Alto,Nuevo museo patrimonial en edificio histórico.
C003,Preparar los museos de la calle Jaén como salas de exhibición para las fiestas julias,Ciudad Cultural y Turística,"Calle Jaén, La Paz (centro histórico)",Intervención de Calle Jaén y alrededores,Rehabilitación de Barrios Históricos,Alto,Acondicionamiento de museos de la calle Jaén. | afinado: Acondicionar los museos de la calle Jaén activa el circuito patrimonial de Jaén.
C004,Ejecutar la agenda de julio con 165 actividades de reactivación económica,Ciudad Productiva,"Calle Jaén, La Paz (centro histórico)",Agenda Viva de la Ciudad,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Agenda de reactivación económica. | afinado: Agenda protocolar de 165 actividades de gabinete: no es un proyecto definido del Plan.
C005,Reprogramar el presupuesto para sostener el servicio Pumakatari hasta fin de año,Ciudad Conectada,"Calle Jaén, La Paz (centro histórico)",Finanzas Sanas,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Reprogramación presupuestaria operativa.
C006,Implementar ruta anti-trameaje y brigadas de reacción inmediata para el Pumakatari,Ciudad Conectada,"Calle Jaén, La Paz (centro histórico)",Rutas Integradas Inteligentes,Ordenamiento del Transporte Publico Colectivo,Alto,Anti-trameaje y reacción en el Pumakatari. | afinado: La ruta anti-trameaje y las brigadas ordenan el transporte público del Pumakatari.
C007,Solicitar información a la empresa de recojo de residuos sólidos para evaluar sus tarifas,Ciudad Verde,"Calle Jaén, La Paz (centro histórico)",Finanzas Sanas,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Evaluación de tarifas de aseo/residuos. | afinado: Solicitud de información regulatoria para evaluar tarifas: tarea de supervisión, no ejecuta proyecto."
C008,Reducir personal supernumerario e ítems fantasma en el servicio Pumakatari,Ciudad Conectada,"Calle Jaén, La Paz (centro histórico)",Empresa Ciudad Humana: Servicios que transforman,Empresas Publicas Eficientes,Alto,Reingeniería de personal del servicio de transporte. | afinado: Reducir ítems fantasma y supernumerarios hace eficiente la empresa/servicio de transporte.
C009,Gestionar mecanismos de flexibilidad presupuestaria ante el tipo de cambio flexible,Ciudad Eficiente y Transparente,"Calle Jaén, La Paz (centro histórico)",Finanzas Sanas,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Gestión financiera coyuntural.
C010,Reabrir al público el Parque Laikacota tras su reactivación,Ciudad Verde,,Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,Reactivación del Parque Laikacota.
C011,Presentar la Marca Ciudad de La Paz,Ciudad Cultural y Turística,,La Paz Se Vive: Rutas humanas y patrimoniales,Turismo de Altura,Alto,Marca ciudad / posicionamiento turístico. | afinado: Presentar la Marca Ciudad posiciona el turismo y la identidad de La Paz.
C012,Organizar los desfiles cívicos unificados del 14 y 15 de julio,Ciudad Cultural y Turística,,Agenda Viva de la Ciudad,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Evento cívico protocolar puntual.
C013,Convocar a los 11 concejales al diálogo para restablecer el Concejo Municipal,Ciudad Eficiente y Transparente,,Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Gestión política institucional.
C014,Presentar los más de 100 proyectos de ley municipales al Concejo,Ciudad Eficiente y Transparente,,Paragua Normativo para el Desarrollo,Normativa Urbana y Convenios,Alto,"Paquete de proyectos de ley municipales. | afinado: El paquete de proyectos de ley se enmarca en el paraguas normativo, no en un portal de normas."
C015,Cambiar el vidrio de la entrada de la oficina del despacho,Tareas operativas,,Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Tarea operativa menor.
C016,Iniciar el cambio de luminarias a luces LED en la ciudad de La Paz,Ciudad Planificada y Habitable,"Plaza Alonso de Mendoza (Churubamba), La Paz",Alumbrado Solar Distrital,Energias Renovables y Eficiencia Energetica,Alto,"Recambio a luminarias LED (cross-eje, por alumbrado). | afinado: El recambio a luminarias LED es eficiencia energética del alumbrado público."
C017,Iniciar el proyecto de Ciudad Inteligente,Ciudad Inteligente,"Plaza Alonso de Mendoza (Churubamba), La Paz",Red de Datos Urbanos,Ciudad Inteligente,Alto,Proyecto de ciudad inteligente.
C018,Iniciar la industrialización de los residuos sólidos,Ciudad Verde,"Plaza Alonso de Mendoza (Churubamba), La Paz",Nueva Planta de Tratamiento,Gestion Integral de Residuos Solidos,Alto,Industrialización de residuos sólidos.
C019,Iniciar el programa de mejoramiento de calles de La Paz,Ciudad Planificada y Habitable,"Plaza Alonso de Mendoza (Churubamba), La Paz","Intervenciones integrales: iluminacion, escaleras, calles",Regeneracion y Mejora Integral de Barrios,Alto,Programa de mejoramiento de calles.
C020,Lanzar el programa de Turismo de Altura (hub del turismo andino),Ciudad Cultural y Turística,"Plaza Alonso de Mendoza (Churubamba), La Paz",La Paz Se Vive: Rutas humanas y patrimoniales,Turismo de Altura,Alto,"Programa Turismo de Altura, encaje directo."
C021,Reglamentar e iniciar el embanderamiento de la ciudad de La Paz,Ciudad Productiva,"Plaza Alonso de Mendoza (Churubamba), La Paz",Agenda Viva de la Ciudad,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Acto cívico operativo (embanderamiento).
C022,"Organizar la carrera pedestre 5K, 10K y 21K de las fiestas julias",Ciudad Vital,"Plaza Alonso de Mendoza (Churubamba), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Evento deportivo (carrera pedestre). | afinado: Evento deportivo puntual (carrera): actividad protocolar sin proyecto específico.
C023,Realizar el estudio geológico y de suelos del terreno de la Terminal Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Estudio para nueva Terminal Minasa.
C024,Emitir un informe técnico-legal sobre el convenio 2012 con los transportistas de Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Convenio de terminal interprovincial. | afinado: El informe técnico-legal del convenio ordena la terminal interprovincial Minasa.
C025,Elaborar el proyecto de la nueva Terminal Minasa con un especialista en terminales,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Proyecto de nueva Terminal Minasa.
C026,Buscar un terreno alternativo para la Terminal Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Terreno para terminal. | afinado: Buscar terreno alternativo materializa la reubicación de la terminal Minasa.
C027,Reunirse con el sector transporte y el sector comercio de la Terminal Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Diálogo sectorial de terminal. | afinado: El diálogo sectorial es parte del proceso de reordenamiento de la terminal Minasa.
C028,Mejorar las condiciones del comedor y los puestos de las comerciantes de Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Comercio dentro de la terminal. | afinado: Mejorar comedor y puestos de comerciantes es parte del reordenamiento de la terminal.
C029,Reponer el control de tránsito y reforzar la Defensoría de la Niñez en la Terminal Minasa,Ciudad de Cuidados y Derechos,"Terminal Minasa (Villa Fátima), La Paz",Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,Defensoría de la Niñez en terminal. | afinado: Reforzar la Defensoría de la Niñez en la terminal es protección de la infancia.
C030,Rediseñar la estrategia de comunicación municipal con enfoque proactivo,Ciudad Eficiente y Transparente,,La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Comunicación institucional operativa.
C031,"Ejecutar el plan de comunicación del programa de aniversario (31 días, 165 actividades)",Ciudad Eficiente y Transparente,,La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Plan comunicacional puntual.
C033,Definir la estrategia comunicacional frente al pedido de revocatorio,Ciudad Eficiente y Transparente,,La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Estrategia comunicacional coyuntural.
C034,Crear la sala de crisis comunicacional,Ciudad Eficiente y Transparente,,La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Comunicación de crisis, operativo."
C035,Montar el sistema de escucha social (sondeos y lectura de comentarios),Ciudad Eficiente y Transparente,,La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Escucha social comunicacional.
C036,Crear la identidad musical de la marca ciudad y de los videos municipales,Ciudad Cultural y Turística,,La Paz Comunica,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Branding/comunicación operativa.
C037,Reparar el sistema eléctrico y la iluminación del Centro de Salud El Vergel,Ciudad Planificada y Habitable,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Infraestructura de Centros de Salud y Educacion,Equipamiento y Servicios Urbanos,Alto,Sistema eléctrico de centro de salud.
C038,Enviar sillas de espera para los pacientes del Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Dotación menor operativa.
C039,Refacción del techo y poda periódica del árbol del Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Mantenimiento menor.
C040,Ampliar y reorganizar los espacios del Centro de Salud El Vergel,Ciudad Planificada y Habitable,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Infraestructura de Centros de Salud y Educacion,Equipamiento y Servicios Urbanos,Alto,Ampliación de centro de salud.
C041,Implementar la transformación del sistema municipal de salud en las 5 redes hasta noviembre,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Transformación del sistema de salud (5 redes).
C042,Ampliar la cobertura de la red municipal de salud con el convenio Nuestra Señora de La Paz,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Red de Salud Familiar,Salud Primaria Integral,Alto,Ampliación de cobertura de la red de salud.
C043,Programa de salud preventiva domiciliaria para adultos mayores,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Salud preventiva domiciliaria. | afinado: La salud preventiva domiciliaria calza en la red de salud inteligente y preventiva.
C044,Garantizar el abastecimiento de medicamentos en los centros de salud,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Abastecimiento de medicamentos. | afinado: Garantizar el abastecimiento de medicamentos es provisión de salud primaria.
C045,Gestionar ante el SEDES el cambio de la normativa de registros manuales en salud,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Digitalización de registros de salud. | afinado: Habilitar registros digitales de salud calza en la red de salud inteligente y preventiva.
C046,Dotar personal y especialidades al Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Dotación de personal y especialidades. | afinado: Dotar personal y especialidades fortalece la atención de salud primaria.
C047,Mejorar la seguridad vial y la accesibilidad peatonal del acceso al Centro de Salud El Vergel,Ciudad Conectada,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",La Via es Nuestra: Calles completas para todas las personas,Infraestructura Vial Estrategica,Alto,Seguridad vial/accesibilidad de acceso. | afinado: Mejorar seguridad vial y accesibilidad peatonal del acceso es calles completas.
