Código,Título,Eje,Lugar,Estado
C001,Realizar la Larga Noche de Museos el 11 de julio de 2026,Ciudad Cultural y Turística,"Calle Jaén, La Paz (centro histórico)",Vigente
C002,Crear un nuevo museo patrimonial en el centenario del Palacio Consistorial,Ciudad Cultural y Turística,"Calle Jaén, La Paz (centro histórico)",Vigente
C003,Preparar los museos de la calle Jaén como salas de exhibición para las fiestas julias,Ciudad Cultural y Turística,"Calle Jaén, La Paz (centro histórico)",Vigente
C004,Ejecutar la agenda de julio con 165 actividades de reactivación económica,Ciudad Productiva,"Calle Jaén, La Paz (centro histórico)",Vigente
C005,Reprogramar el presupuesto para sostener el servicio Pumakatari hasta fin de año,Ciudad Conectada,"Calle Jaén, La Paz (centro histórico)",Vigente
C006,Implementar ruta anti-trameaje y brigadas de reacción inmediata para el Pumakatari,Ciudad Conectada,"Calle Jaén, La Paz (centro histórico)",Vigente
C007,Solicitar información a la empresa de recojo de residuos sólidos para evaluar sus tarifas,Ciudad Verde,"Calle Jaén, La Paz (centro histórico)",Vigente
C008,Reducir personal supernumerario e ítems fantasma en el servicio Pumakatari,Ciudad Conectada,"Calle Jaén, La Paz (centro histórico)",Vigente
C009,Gestionar mecanismos de flexibilidad presupuestaria ante el tipo de cambio flexible,Ciudad Eficiente y Transparente,"Calle Jaén, La Paz (centro histórico)",Vigente
C010,Reabrir al público el Parque Laikacota tras su reactivación,Ciudad Verde,,Vigente
C011,Presentar la Marca Ciudad de La Paz,Ciudad Cultural y Turística,,Vigente
C012,Organizar los desfiles cívicos unificados del 14 y 15 de julio,Ciudad Cultural y Turística,,Vigente
C013,Convocar a los 11 concejales al diálogo para restablecer el Concejo Municipal,Ciudad Eficiente y Transparente,,Vigente
C014,Presentar los más de 100 proyectos de ley municipales al Concejo,Ciudad Eficiente y Transparente,,Vigente
C015,Cambiar el vidrio de la entrada de la oficina del despacho,Tareas operativas,,Vigente
C016,Iniciar el cambio de luminarias a luces LED en la ciudad de La Paz,Ciudad Planificada y Habitable,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C017,Iniciar el proyecto de Ciudad Inteligente,Ciudad Inteligente,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C018,Iniciar la industrialización de los residuos sólidos,Ciudad Verde,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C019,Iniciar el programa de mejoramiento de calles de La Paz,Ciudad Planificada y Habitable,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C020,Lanzar el programa de Turismo de Altura (hub del turismo andino),Ciudad Cultural y Turística,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C021,Reglamentar e iniciar el embanderamiento de la ciudad de La Paz,Ciudad Productiva,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C022,"Organizar la carrera pedestre 5K, 10K y 21K de las fiestas julias",Ciudad Vital,"Plaza Alonso de Mendoza (Churubamba), La Paz",Vigente
C023,Realizar el estudio geológico y de suelos del terreno de la Terminal Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C024,Emitir un informe técnico-legal sobre el convenio 2012 con los transportistas de Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C025,Elaborar el proyecto de la nueva Terminal Minasa con un especialista en terminales,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C026,Buscar un terreno alternativo para la Terminal Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C027,Reunirse con el sector transporte y el sector comercio de la Terminal Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C028,Mejorar las condiciones del comedor y los puestos de las comerciantes de Minasa,Ciudad Conectada,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C029,Reponer el control de tránsito y reforzar la Defensoría de la Niñez en la Terminal Minasa,Ciudad de Cuidados y Derechos,"Terminal Minasa (Villa Fátima), La Paz",Vigente
C030,Rediseñar la estrategia de comunicación municipal con enfoque proactivo,Ciudad Eficiente y Transparente,,Vigente
C031,"Ejecutar el plan de comunicación del programa de aniversario (31 días, 165 actividades)",Ciudad Eficiente y Transparente,,Vigente
C033,Definir la estrategia comunicacional frente al pedido de revocatorio,Ciudad Eficiente y Transparente,,Vigente
C034,Crear la sala de crisis comunicacional,Ciudad Eficiente y Transparente,,Vigente
C035,Montar el sistema de escucha social (sondeos y lectura de comentarios),Ciudad Eficiente y Transparente,,Vigente
C036,Crear la identidad musical de la marca ciudad y de los videos municipales,Ciudad Cultural y Turística,,Vigente
C037,Reparar el sistema eléctrico y la iluminación del Centro de Salud El Vergel,Ciudad Planificada y Habitable,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C038,Enviar sillas de espera para los pacientes del Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C039,Refacción del techo y poda periódica del árbol del Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C040,Ampliar y reorganizar los espacios del Centro de Salud El Vergel,Ciudad Planificada y Habitable,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C041,Implementar la transformación del sistema municipal de salud en las 5 redes hasta noviembre,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C042,Ampliar la cobertura de la red municipal de salud con el convenio Nuestra Señora de La Paz,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C043,Programa de salud preventiva domiciliaria para adultos mayores,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C044,Garantizar el abastecimiento de medicamentos en los centros de salud,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C045,Gestionar ante el SEDES el cambio de la normativa de registros manuales en salud,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C046,Dotar personal y especialidades al Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C047,Mejorar la seguridad vial y la accesibilidad peatonal del acceso al Centro de Salud El Vergel,Ciudad Conectada,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C048,Programa La Paz Iluminada: recambio de más de 130.000 luminarias LED en la ciudad,Ciudad Conectada,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C049,Atender el caso del perro comunitario y la jauría de perros en El Vergel,Ciudad de Cuidados y Derechos,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C050,Reponer las impresoras y el equipamiento informático del Centro de Salud El Vergel,Ciudad Vital,"Centro de Salud El Vergel (Bajo Llojeta, Av. Mario Mercado), La Paz",Vigente
C051,Replantear y mejorar las ciclovías de la ciudad junto a la asociación de ciclistas,Ciudad Conectada,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Vigente
C052,Mesa de diálogo con ciclistas y fraternidades folklóricas para recibir sus propuestas,Ciudad Conectada,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Vigente
C053,Entregar las plazas al folklore como espacios de ensayo,Ciudad Cultural y Turística,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Vigente
C054,Segunda fase de recuperación: Parque Urbano Central y remozamiento de Laikacota,Ciudad Planificada y Habitable,"Av. del Poeta y Costanera (ruta ciclovía recreativa), La Paz",Vigente
