Código canónico,Romano (matriz),Nombre oficial,Lema,Programas,Ámbito / responsable,Etiqueta en compromisos (Notion),Etiqueta en matriz,En sistema de compromisos hoy
EJE-01,EJE I.,Ciudad Eficiente y Transparente,Ciudad que Funciona,14,Transversal / gestión municipal,Ciudad Eficiente y Transparente,EJE I.,Sí
EJE-02,EJE II.,Ciudad Vital,Ciudad que Cuida la Vida,8,SM Ciudad Vital (salud),Ciudad Vital,EJE II.,Sí
EJE-03,EJE III.,Ciudad Inteligente,Ciudad que Aprende e Innova,6,SM Ciudad Inteligente,Ciudad Inteligente,EJE III.,Sí
EJE-04,EJE IV.,Ciudad Productiva,Ciudad de Oportunidades,9,SM Ciudad Productiva,Ciudad Productiva,EJE IV.,Sí
EJE-05,EJE V.,Ciudad de Cuidados y Derechos,Ciudad Para Todos,8,SM Ciudad de Cuidados y Derechos,Ciudad de Cuidados y Derechos,EJE V.,Sí
EJE-06,EJE VI.,Ciudad Cultural y Turística,Ciudad que Inspira y Atrae,6,"SM Ciudad Cultural, Turismo y Economía Naranja",Ciudad Cultural y Turística,EJE VI.,Sí
EJE-07,EJE VII.,Ciudad Planificada y Habitable,Ciudad con Barrios Dignos,12,SM Ciudad Planificada y Habitable,Ciudad Planificada y Habitable,EJE VII.,Sí
EJE-08,EJE VIII.,Ciudad Conectada,Ciudad que Integra,14,SM Ciudad Conectada y Movilidad Urbana,Ciudad Conectada,EJE VIII.,Sí
EJE-09,EJE IX.,Ciudad Verde,Ciudad que Respira,11,SM Ciudad Verde,Ciudad Verde,EJE IX.,Sí
EJE-10,EJE X.,Ciudad Metropolitana,Ciudad sin Fronteras,12,"DIRECCIÓN — Relaciones Internacionales, Cooperación y Alianzas (DRICA)",Ciudad Metropolitana,EJE X.,NO (agregar)
(OP),—,Tareas operativas,(no es eje del Plan; bucket operativo),—,Neutro,Tareas operativas,—,Sí (etiqueta neutra)
