Eje,Nº Programa,Programa,Proyecto,Objetivo (matriz),Tipo (estratégico/general/fortalecimiento),Objetivo del proyecto,"Meta (medible, con cantidad y fecha)",Indicador(es),Resultado 2030,Responsable principal (MOF),Concurrentes (multi-secretaría),Presupuesto estimado (Bs),Fuente de financiamiento,¿Va al Concejo?,RICE Alcance,RICE Impacto (0.25-3),RICE Confianza (%),RICE Esfuerzo (persona-mes),RICE Puntaje,Plazo / hito principal,Actividades (resumen),Compromisos vinculados (C###)
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Pacto Urbano Ciudad Humana: Carta de principios firmada y socializada.,Establecer principios rectores y visión urbana compartida hasta 2050.,,,,,,,,,,,,,,,,,,
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Carta Urbana de La Paz 2050,,,,,,,,,,,,,,,,,,,
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Carta Urbana de La Paz,,,,,,,,,,,,,,,,,,,
EJE I.,1,Política Urbana Integral y Gobernanza del Territorio,Observatorio de Gobernanza Urbana,,,,,,,,,,,,,,,,,,,
EJE I.,2,Normativa Urbana y Convenios,Portal de Normas Urbanas Vivas.,Facilitar compromisos formales con sectores y territorios.,,,,,,,,,,,,,,,,,,
EJE I.,2,Normativa Urbana y Convenios,Paragua Normativo para el Desarrollo,,,,,,,,,,,,,,,,,,,
EJE I.,2,Normativa Urbana y Convenios,Banco de Convenios Urbanos,,,,,,,,,,,,,,,,,,,
EJE I.,2,Normativa Urbana y Convenios,Reforma del Código Municipal Urbano,,,,,,,,,,,,,,,,,,,
EJE I.,3,Planificación Urbana Operativa,La Paz Planifica con la Gente.,Monitorear el crecimiento y facilitar decisiones basadas en datos.,,,,,,,,,,,,,,,,,,
EJE I.,3,Planificación Urbana Operativa,Observatorio Urbano Digital,,,,,,,,,,,,,,,,,,,
EJE I.,3,Planificación Urbana Operativa,POT por Distritos,,,,,,,,,,,,,,,,,,,
EJE I.,3,Planificación Urbana Operativa,Plataforma de Planificación Digital,,,,,,,,,,,,,,,,,,,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Archivo Digital Abierto de la Ciudad.,Implementar una organización orientada a la gestión territorial efectiva.,,,,,,,,,,,,,,,,,,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Gobierno Abierto en Territorio.,Implementar una organización orientada a la gestión territorial efectiva.,,,,,,,,,,,,,,,,,,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Nueva Estructura Municipal Territorizada,,,,,,,,,,,,,,,,,,,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Rediseño Organizativo GAMLP,,,,,,,,,,,,,,,,,,,
EJE I.,4,Reforma Institucional y Gestión Municipal por Resultados,Indicadores por distrito,,,,,,,,,,,,,,,,,,,
EJE I.,5,Sistema de Recaudación Municipal,La Paz Gana con Tu Aporte.,Promover cultura tributaria con beneficios y corresponsabilidad.,,,,,,,,,,,,,,,,,,
EJE I.,5,Sistema de Recaudación Municipal,Contribuyente Humano: Reconocimiento ciudadano.,Promover cultura tributaria con beneficios y corresponsabilidad.,,,,,,,,,,,,,,,,,,
EJE I.,5,Sistema de Recaudación Municipal,Fondos Ciudadanos para Proyectos Locales.,Promover cultura tributaria con beneficios y corresponsabilidad.,,,,,,,,,,,,,,,,,,
EJE I.,5,Sistema de Recaudación Municipal,Ciudadanía Fiscal Responsable,,,,,,,,,,,,,,,,,,,
