Código,Compromiso,Eje,Proyecto,Nivel,Razón
C270,Atender la problemática de seguridad ciudadana nocturna (night clubs y zona roja) en el sector del Puente de las Américas,EJE-05,Barrios Seguros desde la Comunidad: Alarmas con vecinos y cultura de paz.,Alto,Seguridad ciudadana comunitaria en zona roja nocturna del sector
C271,Brindar apoyo social a la persona adulta mayor reubicada de la calle Nieves–Linares,EJE-05,Red de Centros Vida: Clubes del Buen Vivir para Adultos Mayores.,Alto,Acompañamiento social a adulto mayor en red de cuidado
C272,Completar la entrega de equipamiento de protección personal a los trabajadores,EJE-01,Servidores que Cuidan,Paraguas,Entrega de EPP; bienestar y seguridad ocupacional del personal
C273,Concluir la construcción del Hospital San Antonio pese al retraso frente al plazo comprometido,EJE-02,Clínicas de Vida: Salud donde vives.,Alto,Infraestructura hospitalaria de salud; cruza a Eje-02 Ciudad Vital
C274,Conformar la mesa técnica y definir el plan de intervención integral de la Avenida del Poeta,EJE-08,La Vía es Nuestra: Calles completas para todas las personas.,Alto,Intervención vial integral de la Avenida del Poeta
C275,Contratar baños públicos para la verbena paceña,EJE-06,Festival de la Paz,Alto,Servicios higiénicos para la festividad verbena paceña
C276,Coordinar el despliegue de seguridad para la verbena paceña,EJE-06,Festival de la Paz,Alto,Operativo de seguridad para la festividad verbena paceña
C277,Decidir sobre la inclusión del generador de oxígeno (Bs 2.000.000) en el equipamiento del Hospital San Antonio,EJE-02,Clínicas de Vida: Salud donde vives.,Alto,Equipamiento hospitalario (generador de oxígeno); cruza a Eje-02 salud
C278,Ejecutar el plan de bacheo intensivo en toda la ciudad,EJE-08,La Vía es Nuestra: Calles completas para todas las personas.,Alto,Bacheo intensivo; mantenimiento de vías en la ciudad
C279,Ejecutar el programa integral de mejoramiento definitivo de vías fundamentales,EJE-08,La Vía es Nuestra: Calles completas para todas las personas.,Alto,Mejoramiento definitivo de vías fundamentales; cruza a Eje-08 vialidad
C280,Ejecutar la demolición controlada y restitución de la vía en la calle Nieves–Linares,EJE-08,La Vía es Nuestra: Calles completas para todas las personas.,Alto,Demolición y restitución de vía; cruza a Eje-08 vialidad
C281,Emitir informe oficial sobre las modificaciones contractuales del Hospital San Antonio y determinar responsables de los cambios,EJE-01,Control y Cuentas Claras,Paraguas,Informe y fiscalización de cambios contractuales del hospital
C282,Evaluar y declarar la alerta roja municipal ante el fenómeno de El Niño,EJE-07,Ciudad Alerta: Simulacros y preparación comunitaria ante riesgos.,Alto,Declaratoria de alerta roja; prevención de riesgos climáticos
C283,Fiscalizar la ejecución del POA 2025 entregado por la dirigencia vecinal,EJE-01,Ciudad con Ojos Abiertos.,Alto,Veeduría y validación de obras del POA vecinal
C284,Gestionar el proceso de contratación y presupuesto para el equipamiento del Hospital San Antonio,EJE-02,Clínicas de Vida: Salud donde vives.,Alto,Gestión de equipamiento hospitalario; cruza a Eje-02 salud
C285,Habilitar el Jardín Botánico como parque-escuela,EJE-09,Parques Renovados con Comunidades,Alto,Habilitación y renovación del Jardín Botánico como parque
C286,Instalar una valla de protección para el muro patrimonial de la iglesia de San Francisco,EJE-06,Memoria Viva: Adopta tu Patrimonio.,Alto,Protección de muro patrimonial de San Francisco; cruza a Eje-06
