Código,Compromiso,Secretaría,Proyecto original,Proyecto afinado,Programa afinado,Nivel afinado,Motivo
C086,Recuperar el acelerador lineal donado (USD 3 MM) que nunca llegó al Hospital La Portada,Auditoría Interna,Clinicas de Vida: Salud donde vives,Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,"Recuperar el acelerador lineal donado equipa de oncología al hospital municipal, núcleo de la salud primaria."
C149,Auditar la gestión de la Casa de la Mascota y regularizar sus activos,Auditoría Interna,Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,"Auditoría de la gestión y regularización de activos: control interno, no ejecuta el proyecto de bienestar animal."
C154,Auditar el proyecto del puente de Aranjuez,Auditoría Interna,Vias Distritales de Conexion,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Auditoría de una obra: acción de control interno.
C243,Auditar el CITE de Joyería (producción real vs. facturación) y esclarecer su manejo,Auditoría Interna,Centro de Control de Empresas Municipales,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Auditoría del CITE: acción de control interno.
C264,Auditar las contrataciones a terceros de EDME (~Bs 167 millones),Auditoría Interna,Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Auditoría de contrataciones: acción de control interno.
C004,Ejecutar la agenda de julio con 165 actividades de reactivación económica,Despacho del Alcalde,Ferias + Incubadoras,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Agenda protocolar de 165 actividades de gabinete: no es un proyecto definido del Plan.
C014,Presentar los más de 100 proyectos de ley municipales al Concejo,Despacho del Alcalde,Portal de Normas Urbanas Vivas,Paragua Normativo para el Desarrollo,Normativa Urbana y Convenios,Alto,"El paquete de proyectos de ley se enmarca en el paraguas normativo, no en un portal de normas."
C140,Fortalecer la guardia municipal,Despacho del Alcalde,Barrios Seguros desde la Comunidad: Alarmas con vecinos y cultura de paz,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,"Fortalecer la guardia municipal es fortalecimiento institucional/operativo, sin proyecto específico."
C205,Habilitar los servicios externos de EMAVIAS y aprobar sus estatutos,Despacho del Alcalde,Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Empresas Publicas Eficientes,Alto,Habilitar servicios y aprobar estatutos de EMAVIAS es reingeniería directa de la empresa pública.
C263,Reactivar y habilitar la maquinaria parada de EDME,Despacho del Alcalde,Empresa Ciudad Humana: Servicios que transforman,Empresa Ciudad Humana: Servicios que transforman,Empresas Publicas Eficientes,Alto,Reactivar la maquinaria de EDME hace eficiente y operativo el servicio de la empresa municipal.
C268,Implementar el sistema predictivo de repuestos (CRM) y subir el sistema Maresto a la nube,Despacho del Alcalde,Municipio Inteligente y Humano,Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,El CRM predictivo de repuestos y la nube de EDME son digitalización de la gestión municipal.
C207,Eliminar los sorteos de nichos del Cementerio General y permitir la elección directa y transparente,EDMC,Municipio Inteligente y Humano,Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,Eliminar sorteos por elección directa y transparente digitaliza y transparenta el servicio del cementerio.
C208,Digitalizar y modernizar el registro del Cementerio General,EDMC,Municipio Inteligente y Humano,Municipio Inteligente y Humano,Transformacion Digital Ciudadana,Alto,Digitalizar el registro del cementerio es transformación digital del servicio.
C209,Esclarecer los recursos de reconstrucción y ejecutar la nueva construcción de nichos del Cementerio General,EDMC,Equipamos La Paz: Infraestructura con proposito humano,Equipamos La Paz: Infraestructura con proposito humano,Equipamiento y Servicios Urbanos,Alto,La construcción de nichos es equipamiento y servicio urbano municipal.
C045,Gestionar ante el SEDES el cambio de la normativa de registros manuales en salud,Hospitales Municipales,Red de Salud Inteligente de Barrio,Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Habilitar registros digitales de salud calza en la red de salud inteligente y preventiva.
C006,Implementar ruta anti-trameaje y brigadas de reacción inmediata para el Pumakatari,SETRAM,Rutas Integradas Inteligentes,Rutas Integradas Inteligentes,Ordenamiento del Transporte Publico Colectivo,Alto,La ruta anti-trameaje y las brigadas ordenan el transporte público del Pumakatari.
C008,Reducir personal supernumerario e ítems fantasma en el servicio Pumakatari,SETRAM,Empresa Ciudad Humana: Servicios que transforman,Empresa Ciudad Humana: Servicios que transforman,Empresas Publicas Eficientes,Alto,Reducir ítems fantasma y supernumerarios hace eficiente la empresa/servicio de transporte.
C097,Reparar los ascensores de sillas de ruedas inoperables del Pumakatari y hacer su revisión diaria,SETRAM,Transporte Accesible,Transporte Accesible,Movilidad Inclusiva y Accesibilidad Universal,Alto,Reparar los ascensores de sillas de ruedas es accesibilidad universal del transporte.
C098,Implementar un plan de mantenimiento predictivo documentado para la flota Pumakatari,SETRAM,Rutas Integradas Inteligentes,Rutas Integradas Inteligentes,Ordenamiento del Transporte Publico Colectivo,Alto,El mantenimiento predictivo sostiene la operación confiable del sistema de transporte.
C178,"Desarrollar los sistemas internos del SETRAM (flota, combustible y trámites)",SETRAM,Rutas Integradas Inteligentes,Municipio Inteligente y Humano.,Transformación Digital Ciudadana,Alto,"Los sistemas internos del SETRAM (flota, combustible, trámites) son digitalización de la gestión, no ordenamiento de rutas."
C007,Solicitar información a la empresa de recojo de residuos sólidos para evaluar sus tarifas,SIREMU,Basura Cero: Comunidad que separa y reduce,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,"Solicitud de información regulatoria para evaluar tarifas: tarea de supervisión, no ejecuta proyecto."
C024,Emitir un informe técnico-legal sobre el convenio 2012 con los transportistas de Minasa,SM Ciudad Conectada y Movilidad,Terminales Metropolitanas,Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,El informe técnico-legal del convenio ordena la terminal interprovincial Minasa.
C026,Buscar un terreno alternativo para la Terminal Minasa,SM Ciudad Conectada y Movilidad,Terminales Metropolitanas,Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Buscar terreno alternativo materializa la reubicación de la terminal Minasa.
C027,Reunirse con el sector transporte y el sector comercio de la Terminal Minasa,SM Ciudad Conectada y Movilidad,Terminales Metropolitanas,Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,El diálogo sectorial es parte del proceso de reordenamiento de la terminal Minasa.
C028,Mejorar las condiciones del comedor y los puestos de las comerciantes de Minasa,SM Ciudad Conectada y Movilidad,Terminales Metropolitanas,Terminales Metropolitanas,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Mejorar comedor y puestos de comerciantes es parte del reordenamiento de la terminal.
C047,Mejorar la seguridad vial y la accesibilidad peatonal del acceso al Centro de Salud El Vergel,SM Ciudad Conectada y Movilidad,La Via es Nuestra: Calles completas para todas las personas,La Via es Nuestra: Calles completas para todas las personas,Infraestructura Vial Estrategica,Alto,Mejorar seguridad vial y accesibilidad peatonal del acceso es calles completas.
C052,Mesa de diálogo con ciclistas y fraternidades folklóricas para recibir sus propuestas,SM Ciudad Conectada y Movilidad,Red de Ciclorrutas,Red de Ciclorrutas,Movilidad Urbana Sostenible,Alto,La mesa con ciclistas alimenta la planificación de la red de ciclorrutas.
C117,Retirar y reponer los bolardos viales dañados de la ciudad,SM Ciudad Conectada y Movilidad,Regulacion del Espacio Publico,Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Retirar y reponer bolardos regula y protege el espacio público vial.
C119,Controlar la velocidad de los camiones de áridos y extender el rompemuelles en Achumani,SM Ciudad Conectada y Movilidad,La Via es Nuestra: Calles completas para todas las personas,La Via es Nuestra: Calles completas para todas las personas,Infraestructura Vial Estrategica,Alto,Controlar velocidad y extender rompemuelles es seguridad vial / calles completas.
C134,Instalar bolardos metálicos en la acera del Santuario del Gran Poder,SM Ciudad Conectada y Movilidad,Regulacion del Espacio Publico,Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Instalar bolardos protege la acera peatonal: regulación del espacio público vial.
C189,Regularizar los bienes donados y completar la videovigilancia de la Terminal de Buses,SM Ciudad Conectada y Movilidad,Terminal Inteligente Metropolitana,Terminal Inteligente Metropolitana,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Regularizar bienes y completar videovigilancia moderniza la terminal metropolitana.
C204,Coordinar con EPSAS la reposición del asfalto que rompe en las vías,SM Ciudad Conectada y Movilidad,Intervenciones en Cuellos de Botella,La Vía es Nuestra: Calles completas para todas las personas.,Infraestructura Vial Estratégica,Alto,"La reposición de pavimento en vías corresponde a infraestructura vial, no a cuellos de botella."
C232,Modernizar el centro de monitoreo del transporte (190 cámaras) con inteligencia artificial,SM Ciudad Conectada y Movilidad,Paneles de Gestion en Tiempo Real,Paneles de Gestion en Tiempo Real,Ciudad Inteligente,Alto,Modernizar el centro de monitoreo con IA es gestión inteligente en tiempo real.
C197,Modernizar la Maestranza municipal y aumentar la producción de mobiliario educativo,SM Ciudad Inteligente,Plan de Rehabilitacion Escolar,Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Modernizar la Maestranza para producir mobiliario educativo equipa las escuelas.
C258,Asignar presupuesto específico para las unidades educativas desde la gestión 2027,SM Ciudad Inteligente,Plan de Rehabilitacion Escolar,Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Asignar presupuesto específico a las unidades educativas sostiene la rehabilitación escolar.
C260,Poner a disposición más de 1.200 becas para estudiantes de La Paz,SM Ciudad Inteligente,Itinerarios Educativos por Talento,Itinerarios Educativos por Talento,Educacion para el Desarrollo,Alto,Poner a disposición 1.200 becas responde a itinerarios educativos por talento.
C016,Iniciar el cambio de luminarias a luces LED en la ciudad de La Paz,SM Ciudad Planificada y Habitable,Alumbrado Solar Distrital,Alumbrado Solar Distrital,Energias Renovables y Eficiencia Energetica,Alto,El recambio a luminarias LED es eficiencia energética del alumbrado público.
C048,Programa La Paz Iluminada: recambio de más de 130.000 luminarias LED en la ciudad,SM Ciudad Planificada y Habitable,Alumbrado Solar Distrital,Alumbrado Solar Distrital,Energias Renovables y Eficiencia Energetica,Alto,El recambio masivo de 130.000 LED es eficiencia energética del alumbrado público.
C076,Buscar una alternativa para el ordenamiento de cables en las fachadas del centro histórico,SM Ciudad Planificada y Habitable,Barrios con Historia Viva: Rehabilitacion urbana participativa,Barrios con Historia Viva: Rehabilitacion urbana participativa,Rehabilitacion de Barrios Historicos,Alto,Ordenar los cables en fachadas es rehabilitación urbana del centro histórico.
C092,Instalar las mesas técnicas de diálogo con los vecinos damnificados y definir la ruta crítica del Parque 3600,SM Ciudad Planificada y Habitable,Proteccion de Areas de Riesgo,Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Las mesas técnicas con damnificados gestionan el riesgo del sitio del Parque 3600.
C094,Regularizar el derecho propietario municipal del Parque 3600 e impulsar la expropiación para consolidarlo,SM Ciudad Planificada y Habitable,Tu Terreno Cuenta: Regularizacion con justicia social,Tu Terreno Cuenta: Regularizacion con justicia social,Catastro Moderno y Justicia Urbana,Alto,Regularizar el derecho propietario y la expropiación es catastro y justicia urbana.
C112,Reponer la vía colapsada de Bajo Llojeta,SM Ciudad Planificada y Habitable,Proteccion de Areas de Riesgo,Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Reponer la vía colapsada en zona de talud/río es parte de la protección del área de riesgo.
C113,Disponer maquinaria y personal para la limpieza preventiva del río de Bajo Llojeta cada temporada de lluvias,SM Ciudad Planificada y Habitable,Infraestructura de Drenaje Verde,Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,La limpieza preventiva del río mitiga el riesgo hidrológico: drenaje/adaptación climática.
C116,Evaluar el convenio con la cementera (SOBOCE) por el material aluvial de la limpieza de cabeceras,SM Ciudad Planificada y Habitable,Infraestructura de Drenaje Verde,Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,El manejo del material aluvial de cabeceras es parte de la gestión hídrica del drenaje.
